distance_traveled,days_until_destination,color_group_estimate
2578,4.2,teal
1100,4.5,white
157,8.8,teal
1844,3.9,teal
1930,4.8,white
1161,6.5,orange
851,4.3,teal
2549,4.5,teal
2178,4.4,white
2326,3.8,teal
657,6.8,white
16,4.0,teal
2029,7.8,white
1066,5.8,white
634,2.9,teal
1981,3.7,teal
1604,4.0,teal
1784,4.5,teal
1413,6.1,white
817,8.5,orange
1393,5.9,white
969,4.9,white
623,3.2,teal
1712,4.3,teal
2660,3,teal
1555,6.9,white
730,3.9,teal
1237,9.6,orange
1231,4.2,white
1788,7.4,orange
545,3.2,teal
2019,3.6,teal
701,2.6,teal
2193,6.6,white
2260,5.2,teal
1821,6.7,white
797,3.2,teal
1171,7.5,white
213,3.4,teal
2352,3.8,teal
1631,4.1,teal
610,3.2,teal
1082,5.2,white
1280,7.8,orange
2048,3.2,teal
2345,4.2,teal
487,2.3,teal
942,6.8,orange
1957,13.9,orange
88,3.4,teal
1774,5.6,teal
1722,5.2,teal
2006,5.0,white
2548,4.4,teal
1220,13.3,orange
969,6.9,orange
1191,8.4,orange
777,3.9,teal
1796,4.0,teal
2331,3,teal
2457,4.5,teal
899,6.5,white
89,3.0,teal
363,4.1,teal
1942,3.5,teal
1534,4.0,teal
2596,4.6,teal
0,2.7,teal
1999,13.1,orange
971,12.7,orange
1131,14.4,orange
2797,3.8,teal
1847,5.6,teal
1364,5.4,white
1910,3.9,teal
2620,4.1,teal
1462,7.1,white
1121,7.6,white
2602,4.2,teal
1370,6.4,orange
1992,4.5,teal
1621,3.6,teal
936,5.7,white
1465,6.2,white
1940,14.5,orange
920,5.9,white
1133,6.7,white
1273,6.4,white
584,6.5,orange
1872,4.5,white
400,2.4,teal
2416,3,teal
2639,3.4,teal
51,2.8,teal
2224,4.7,teal
1787,4.8,teal
1618,3.5,teal
675,5.2,teal
595,7.1,white
703,3.8,teal
2342,4.4,teal
897,7.0,white
1378,12.1,orange
2744,3.4,teal
1392,4.8,white
1122,4.9,white
61,5.6,teal
1858,3.8,teal
2552,3,teal
950,13.8,orange
935,5.0,orange
239,3.4,teal
2689,3.7,teal
2003,4.3,white
2110,6.3,white
2197,5.4,teal
9,3.6,teal
1798,3.4,teal
2786,4.1,teal
2230,3.6,teal
