distance_traveled,days_until_destination,color_group_estimate
1153,5,white
548,4,orange
1577,4,teal
655,4,teal
875,7,orange
295,3,teal
50,2,teal
2137,5,white
720,4,teal
1529,5,teal
719,10,orange
2009,7,white
700,4,teal
2346,4,teal
2638,4,teal
2616,4,teal
2052,6,teal
287,4,teal
2769,4,teal
223,3,teal
2116,5,teal
1718,4,teal
1474,14,orange
141,2,teal
2002,5,teal
2533,5,teal
1874,12,orange
2008,6,teal
650,6,teal
1452,6,white
2341,6,teal
1735,5,teal
2494,5,teal
187,3,teal
762,3,teal
2569,4,teal
1650,9,orange
2250,4,teal
766,2,teal
1777,9,orange
1546,7,white
440,4,teal
1698,5,teal
167,2,teal
1668,4,teal
1549,4,teal
2089,4,teal
471,2,teal
1117,6,white
1166,5,white
2044,5,teal
920,4,white
1551,5,teal
832,8,white
1994,7,white
151,8,orange
852,15,orange
1310,4,white
2592,6,teal
1605,5,teal
2112,8,white
909,7,orange
2254,5,teal
910,5,white
544,8,teal
1560,4,white
2774,4,teal
1162,14,orange
1960,4,white
1298,4,white
241,6,white
2316,6,teal
1575,5,teal
1034,7,white
541,2,teal
146,7,white
1688,4,teal
1591,4,teal
1579,5,teal
2448,4,teal
2404,5,teal
839,5,white
1936,8,white
1901,6,teal
83,3,teal
1163,7,white
1570,15,orange
28,4,orange
1946,7,white
1577,5,teal
1661,4,teal
1989,8,white
2331,4,teal
2139,5,white
1539,8,white
314,3,teal
2385,4,teal
1817,5,teal
904,16,orange
850,12,orange
1921,4,teal
1540,4,white
2183,6,teal
1514,12,orange
412,3,teal
2197,4,teal
800,4,white
836,8,white
1908,5,teal
1660,4,white
2212,4,teal
272,2,teal
657,5,orange
1960,8,orange
3,3,teal
942,5,white
434,8,teal
1066,12,orange
1280,5,white
1262,4,white
