active,latitude,longitude,initials
y,41.19253,-101.65607,RLM
n,41.19252,-101.65607,RLM
y,41.19254,-101.65614,RLM
n,41.19254,-101.65612,RLM
n,41.19257,-101.65618,RLM
y,41.1926,-101.65621,RLM
n,41.1926,-101.6562,RLM
y,41.19255,-101.65604,RLM
n,41.19253,-101.65601,RLM
y,41.19247,-101.65599,RLM
n,41.19252,-101.65594,RLM
n,41.19248,-101.65589,RLM
y,41.19251,-101.65584,RLM
y,41.19248,-101.65578,RLM
n,41.19247,-101.65578,RLM
y,41.19255,-101.65581,RLM
n,41.19258,-101.65586,RLM
y,41.19259,-101.65591,RLM
y,41.19259,-101.65593,RLM
y,41.19264,-101.65598,RLM
y,41.19263,-101.65594,RLM
y,41.19263,-101.65591,RLM
y,41.19266,-101.65589,RLM
y,41.19269,-101.65588,RLM
y,41.19267,-101.65585,RLM
y,41.19266,-101.65582,RLM
y,41.19262,-101.65584,RLM
y,41.19259,-101.65582,RLM
n,41.19257,-101.65578,RLM
n,41.19264,-101.65577,RLM
y,41.19255,-101.65574,RLM
n,41.19254,-101.65571,RLM
n,41.19254,-101.65567,RLM
y,41.19258,-101.65566,RLM
y,41.19259,-101.65566,RLM
y,41.19257,-101.65541,RLM
n,41.19256,-101.6553,RLM
y,41.19259,-101.65527,RLM
n,41.19252,-101.65523,RLM
n,41.19247,-101.65518,RLM
y,41.19251,-101.65514,RLM
n,41.19247,-101.65508,RLM
y,41.19253,-101.65507,RLM
y,41.19256,-101.65518,RLM
y,41.19261,-101.6551,RLM
y,41.19263,-101.65519,RLM
y,41.19262,-101.65525,RLM
y,41.19262,-101.6553,RLM
y,41.19264,-101.65526,RLM
n,41.19266,-101.65522,RLM
y,41.19267,-101.65519,RLM
y,41.1926,-101.65519,RLM
y,41.19265,-101.65513,RLM
y,41.19269,-101.65512,RLM
y,41.1927,-101.6551,RLM
y,41.19265,-101.65509,RLM
y,41.19266,-101.65508,RLM
n,41.1926,-101.65506,RLM
y,41.19257,-101.65507,RLM
y,41.19262,-101.65501,RLM
y,41.19263,-101.655,RLM
y,41.19268,-101.65497,RLM
y,41.19271,-101.65504,RLM
y,41.1927,-101.65503,RLM
y,41.19273,-101.65498,RLM
y,41.19273,-101.65491,RLM
y,41.19273,-101.65487,RLM
n,41.1927,-101.65482,RLM
y,41.19263,-101.65476,RLM
n,41.1926,-101.65472,RLM
y,41.19258,-101.65472,RLM
y,41.19257,-101.65467,RLM
y,41.19255,-101.65468,RLM
y,41.1925,-101.6549,RLM
y,41.1925,-101.65485,RLM
y,41.19254,-101.65482,RLM
y,41.19258,-101.6548,RLM
y,41.1925,-101.65477,RLM
y,41.19249,-101.65469,RLM
y,41.19246,-101.65466,RLM
y,41.19245,-101.65461,RLM
y,41.19248,-101.65461,RLM
y,41.19246,-101.65448,RLM
y,41.19248,-101.65453,RLM
y,41.19251,-101.65458,RLM
y,41.19251,-101.65462,RLM
y,41.19256,-101.65459,RLM
y,41.19265,-101.65467,RLM
n,41.1927,-101.65477,RLM
y,41.19279,-101.65478,RLM
y,41.19282,-101.65482,RLM
y,41.19282,-101.65485,RLM
y,41.19278,-101.65486,RLM
y,41.19284,-101.65477,RLM
y,41.19283,-101.6547,RLM
y,41.19287,-101.65472,RLM
n,41.19284,-101.65466,RLM
n,41.19281,-101.65467,RLM
y,41.19278,-101.65465,RLM
y,41.19274,-101.65464,RLM
n,41.19278,-101.6547,RLM
y,41.19275,-101.65471,RLM
y,41.19288,-101.65462,RLM
y,41.19285,-101.65461,RLM
y,41.1928,-101.65459,RLM
n,41.19278,-101.65456,RLM
y,41.19275,-101.65453,RLM
y,41.19274,-101.65456,RLM
y,41.1927,-101.65459,RLM
y,41.19267,-101.65461,RLM
y,41.19263,-101.65451,RLM
y,41.1926,-101.6545,RLM
y,41.19256,-101.65449,RLM
n,41.19249,-101.65444,RLM
n,41.19253,-101.65441,RLM
y,41.19258,-101.6544,RLM
y,41.1926,-101.65442,RLM
y,41.19246,-101.65424,RLM
n,41.19249,-101.65421,RLM
y,41.19251,-101.65415,RLM
y,41.19252,-101.65414,RLM
y,41.19258,-101.65416,RLM
y,41.19257,-101.65424,RLM
y,41.19259,-101.65428,RLM
y,41.19263,-101.65422,RLM
y,41.19271,-101.65426,RLM
n,41.19267,-101.65431,RLM
n,41.1927,-101.65433,RLM
y,41.19287,-101.65451,RLM
y,41.19283,-101.65446,RLM
y,41.19283,-101.6545,RLM
y,41.19277,-101.65448,RLM
y,41.19276,-101.65437,RLM
y,41.19281,-101.65434,RLM
y,41.19281,-101.65431,RLM
y,41.19273,-101.65425,RLM
y,41.19273,-101.6542,RLM
y,41.19271,-101.65417,RLM
y,41.19261,-101.65414,RLM
y,41.19258,-101.65412,RLM
y,41.19256,-101.65414,RLM
y,41.19245,-101.6541,RLM
y,41.19247,-101.6541,RLM
y,41.19246,-101.65405,RLM
y,41.19287,-101.65435,RLM
n,41.19282,-101.65427,RLM
y,41.19286,-101.65421,RLM
y,41.19282,-101.65417,RLM
n,41.1927,-101.65413,RLM
y,41.19268,-101.65411,RLM
y,41.19264,-101.65411,RLM
y,41.19266,-101.65407,RLM
y,41.1926,-101.65408,RLM
n,41.19253,-101.65399,RLM
y,41.19261,-101.65396,RLM
y,41.19263,-101.65392,RLM
n,41.19257,-101.65392,RLM
y,41.19252,-101.65385,RLM
n,41.19248,-101.65382,RLM
y,41.19247,-101.65378,RLM
y,41.19249,-101.65374,RLM
y,41.1925,-101.65366,RLM
y,41.1925,-101.65372,RLM
y,41.19257,-101.65282,RLM
y,41.19265,-101.65385,RLM
y,41.19268,-101.65392,RLM
y,41.19269,-101.65399,RLM
y,41.19271,-101.654,RLM
y,41.19273,-101.65398,RLM
y,41.19274,-101.654,RLM
y,41.19276,-101.65401,RLM
n,41.19261,-101.65559,JI
y,41.19266,-101.65562,JI
n,41.19271,-101.65564,JI
y,41.19268,-101.65568,JI
n,41.19267,-101.65569,JI
y,41.19267,-101.65575,JI
n,41.19266,-101.65577,JI
y,41.19265,-101.65575,JI
y,41.19263,-101.65579,JI
n,41.19262,-101.65575,JI
y,41.19261,-101.6557,JI
y,41.19268,-101.65572,JI
y,41.1927,-101.65562,JI
y,41.19266,-101.65558,JI
n,41.19253,-101.65553,JI
y,41.19258,-101.65549,JI
y,41.19273,-101.65572,JI
n,41.19272,-101.65567,JI
n,41.19273,-101.65569,JI
y,41.19273,-101.65565,JI
y,41.19275,-101.65563,JI
n,41.19275,-101.65558,JI
y,41.19269,-101.65551,JI
n,41.19267,-101.65552,JI
n,41.19339,-101.65487,JI
y,41.1934,-101.65491,JI
y,41.1934,-101.65484,JI
y,41.19336,-101.65483,JI
y,41.19332,-101.65477,JI
y,41.19335,-101.65477,JI
n,41.19336,-101.65477,JI
y,41.19337,-101.65472,JI
n,41.19338,-101.65472,JI
y,41.19336,-101.65472,JI
y,41.19335,-101.65467,JI
n,41.19333,-101.65463,JI
y,41.19332,-101.6546,JI
n,41.19332,-101.65461,JI
y,41.19333,-101.65456,JI
y,41.19326,-101.65457,JI
y,41.19327,-101.65447,JI
n,41.19324,-101.65442,JI
n,41.1932,-101.65445,JI
y,41.19318,-101.65442,JI
y,41.19325,-101.65434,JI
y,41.19326,-101.65427,JI
y,41.19321,-101.65421,JI
y,41.19319,-101.65424,JI
y,41.19326,-101.65419,JI
y,41.19328,-101.65414,JI
y,41.19332,-101.65411,JI
y,41.19337,-101.65417,JI
n,41.19333,-101.65427,JI
n,41.19337,-101.65424,JI
y,41.19305,-101.65417,JI
y,41.19302,-101.65414,JI
y,41.19329,-101.65416,JI
y,41.19302,-101.65413,JI
y,41.19304,-101.65414,JI
y,41.19308,-101.65416,JI
y,41.19311,-101.65417,JI
n,41.19309,-101.6542,JI
n,41.1931,-101.65419,JI
y,41.19315,-101.65421,JI
y,41.19316,-101.65415,JI
y,41.19318,-101.65415,JI
y,41.19321,-101.65415,JI
y,41.19319,-101.65411,JI
y,41.19319,-101.65405,JI
y,41.19322,-101.65402,JI
y,41.19321,-101.65398,JI
n,41.19326,-101.65395,JI
y,41.19328,-101.65395,JI
n,41.19329,-101.65392,JI
y,41.19327,-101.6539,JI
y,41.19324,-101.65389,JI
n,41.19321,-101.65382,JI
y,41.19319,-101.65379,JI
y,41.19328,-101.65381,JI
y,41.19328,-101.65379,JI
n,41.19328,-101.65369,JI
y,41.19326,-101.65366,JI
y,41.19323,-101.65369,JI
y,41.1932,-101.65368,JI
n,41.19315,-101.65369,JI
y,41.19313,-101.65366,JI
y,41.19314,-101.65363,JI
y,41.19292,-101.65458,TAD
y,41.19291,-101.65454,TAD
y,41.19293,-101.65455,TAD
n,41.19294,-101.65455,TAD
y,41.19296,-101.65458,TAD
y,41.19302,-101.65462,TAD
n,41.19307,-101.65456,TAD
n,41.19304,-101.65453,TAD
y,41.19304,-101.6545,TAD
y,41.1931,-101.65454,TAD
n,41.19313,-101.65453,TAD
n,41.19315,-101.65451,TAD
y,41.19316,-101.65457,TAD
y,41.19315,-101.65461,TAD
y,41.19315,-101.65464,TAD
y,41.19316,-101.65468,TAD
y,41.19318,-101.6546,TAD
y,41.19323,-101.65452,TAD
y,41.19314,-101.65431,TAD
y,41.1931,-101.65433,TAD
y,41.19309,-101.65433,TAD
y,41.19312,-101.65426,TAD
y,41.19309,-101.65427,TAD
n,41.19305,-101.65428,TAD
y,41.19304,-101.65426,TAD
y,41.19288,-101.65542,SM
y,41.19287,-101.65543,SM
y,41.19282,-101.65536,SM
n,41.19279,-101.65537,SM
n,41.19276,-101.65535,SM
y,41.19278,-101.65533,SM
n,41.19283,-101.65533,SM
n,41.19288,-101.65529,SM
n,41.19289,-101.65526,SM
y,41.19281,-101.65527,SM
y,41.19278,-101.65527,SM
y,41.19274,-101.65528,SM
n,41.19279,-101.65506,SM
y,41.19281,-101.65506,SM
